trade_time,open,close,volume,high,low,amount,change,change_pct,turnover_ratio,pre_close,stock_code,trade_date
2021-01-04 00:00:00,18.41,17.91,155421643,18.41,17.75,2891682312.0,-0.74,-3.97,0.80,18.65,000001,2021-01-04
2021-01-05 00:00:00,17.71,17.48,182135210,17.79,17.11,3284606913.0,-0.43,-2.4,0.94,17.91,000001,2021-01-05
2021-01-06 00:00:00,17.39,18.87,193494512,18.87,17.31,3648521909.0,1.39,7.95,1.00,17.48,000001,2021-01-06
2021-01-07 00:00:00,18.83,19.21,158418530,19.29,18.54,3111274625.0,0.34,1.8,0.82,18.87,000001,2021-01-07
2021-01-08 00:00:00,19.21,19.16,119547322,19.41,18.62,2348316363.0,-0.05,-0.26,0.62,19.21,000001,2021-01-08
2021-01-11 00:00:00,19.31,19.69,179045714,19.95,19.31,3652546646.0,0.53,2.77,0.92,19.16,000001,2021-01-11
2021-01-12 00:00:00,19.70,20.31,128816550,20.31,19.49,2657687440.0,0.62,3.15,0.66,19.69,000001,2021-01-12
2021-01-13 00:00:00,20.31,20.01,104911973,20.32,19.71,2161849708.0,-0.3,-1.48,0.54,20.31,000001,2021-01-13
2021-01-14 00:00:00,19.99,19.48,113015562,20.20,19.26,2306404546.0,-0.53,-2.65,0.58,20.01,000001,2021-01-14
2021-01-15 00:00:00,20.31,20.31,248068898,21.26,20.13,5311218074.0,0.83,4.26,1.28,19.48,000001,2021-01-15
2021-01-18 00:00:00,20.51,22.01,215730178,22.09,20.51,4792909447.0,1.7,8.37,1.11,20.31,000001,2021-01-18
2021-01-19 00:00:00,21.82,21.65,124208834,22.15,21.36,2790056611.0,-0.36,-1.64,0.64,22.01,000001,2021-01-19
2021-01-20 00:00:00,21.46,21.78,128079316,22.28,21.43,2889249850.0,0.13,0.6,0.66,21.65,000001,2021-01-20
2021-01-21 00:00:00,21.81,21.54,94477860,22.11,21.46,2114252731.0,-0.24,-1.1,0.49,21.78,000001,2021-01-21
2021-01-22 00:00:00,21.54,21.34,92443442,21.54,20.82,2025834761.0,-0.2,-0.93,0.48,21.54,000001,2021-01-22
2021-01-25 00:00:00,21.03,21.80,102836527,21.91,20.74,2269032820.0,0.46,2.16,0.53,21.34,000001,2021-01-25
2021-01-26 00:00:00,21.61,21.68,112672055,22.63,21.61,2558575511.0,-0.12,-0.55,0.58,21.80,000001,2021-01-26
2021-01-27 00:00:00,21.62,22.39,129415272,22.78,21.62,2976800955.0,0.71,3.27,0.67,21.68,000001,2021-01-27
2021-01-28 00:00:00,22.09,22.12,85747696,22.49,21.76,1948881146.0,-0.27,-1.21,0.44,22.39,000001,2021-01-28
2021-01-29 00:00:00,22.12,22.40,124025841,22.85,22.02,2864101419.0,0.28,1.27,0.64,22.12,000001,2021-01-29
2021-02-01 00:00:00,22.31,23.86,147523930,24.30,22.01,3529556986.0,1.46,6.52,0.76,22.40,000001,2021-02-01
2021-02-02 00:00:00,22.69,22.59,241616877,23.41,22.22,5679179941.0,-1.27,-5.32,1.25,23.86,000001,2021-02-02
2021-02-03 00:00:00,22.79,24.26,192327159,24.49,22.69,4690176486.0,1.67,7.39,0.99,22.59,000001,2021-02-03
2021-02-04 00:00:00,23.49,23.91,125524750,24.55,23.35,3084553750.0,-0.35,-1.44,0.65,24.26,000001,2021-02-04
2021-02-05 00:00:00,23.91,24.24,101557559,24.62,23.58,2517804159.0,0.33,1.38,0.52,23.91,000001,2021-02-05
2021-02-08 00:00:00,24.21,24.11,108426467,24.21,23.41,2650948251.0,-0.13,-0.54,0.56,24.24,000001,2021-02-08
2021-02-09 00:00:00,24.10,23.89,94209355,24.15,23.48,2302978158.0,-0.22,-0.91,0.49,24.11,000001,2021-02-09
2021-02-10 00:00:00,23.91,23.13,191886710,24.27,22.69,4569741959.0,-0.76,-3.18,0.99,23.89,000001,2021-02-10
2021-02-18 00:00:00,23.31,23.61,150523081,23.86,22.79,3619387651.0,0.48,2.08,0.78,23.13,000001,2021-02-18
2021-02-19 00:00:00,23.27,23.16,92258314,23.50,22.88,2197558286.0,-0.45,-1.91,0.48,23.61,000001,2021-02-19
2021-02-22 00:00:00,23.11,21.69,195684248,23.11,21.57,4445818547.0,-1.47,-6.35,1.01,23.16,000001,2021-02-22
2021-02-23 00:00:00,21.69,21.24,187046013,21.99,21.13,4160776611.0,-0.45,-2.07,0.96,21.69,000001,2021-02-23
2021-02-24 00:00:00,21.58,21.47,142849985,21.59,20.87,3144209051.0,0.23,1.08,0.74,21.24,000001,2021-02-24
2021-02-25 00:00:00,21.71,21.40,159340347,21.87,20.99,3524600794.0,-0.07,-0.33,0.82,21.47,000001,2021-02-25
2021-02-26 00:00:00,20.91,20.69,112497730,21.27,20.52,2424653753.0,-0.71,-3.32,0.58,21.40,000001,2021-02-26
2021-03-01 00:00:00,20.85,20.76,112538653,20.99,20.49,2408050906.0,0.07,0.34,0.58,20.69,000001,2021-03-01
2021-03-02 00:00:00,20.93,20.96,147342505,21.46,20.57,3196536981.0,0.2,0.96,0.76,20.76,000001,2021-03-02
2021-03-03 00:00:00,20.89,22.32,191963527,22.39,20.77,4320024431.0,1.36,6.49,0.99,20.96,000001,2021-03-03
2021-03-04 00:00:00,22.08,22.23,121357937,22.80,21.96,2799747146.0,-0.09,-0.4,0.63,22.32,000001,2021-03-04
2021-03-05 00:00:00,22.01,21.65,88017141,22.29,21.17,1960439115.0,-0.58,-2.61,0.45,22.23,000001,2021-03-05
2021-03-08 00:00:00,21.75,20.91,99377397,22.00,20.79,2189190957.0,-0.74,-3.42,0.51,21.65,000001,2021-03-08
2021-03-09 00:00:00,20.99,20.16,136189533,21.23,19.89,2882931927.0,-0.75,-3.59,0.70,20.91,000001,2021-03-09
2021-03-10 00:00:00,20.15,19.71,114941657,20.22,19.59,2356185003.0,-0.45,-2.23,0.59,20.16,000001,2021-03-10
2021-03-11 00:00:00,19.89,20.58,104865939,20.69,19.87,2213107787.0,0.87,4.41,0.54,19.71,000001,2021-03-11
2021-03-12 00:00:00,20.68,20.79,69720060,21.01,20.51,1494219075.0,0.21,1.02,0.36,20.58,000001,2021-03-12
2021-03-15 00:00:00,20.71,20.91,95874870,21.43,20.42,2077984893.0,0.12,0.58,0.49,20.79,000001,2021-03-15
2021-03-16 00:00:00,20.91,20.97,93968432,21.42,20.58,2038470660.0,0.06,0.29,0.48,20.91,000001,2021-03-16
2021-03-17 00:00:00,20.76,20.51,82148865,20.86,20.21,1738185857.0,-0.46,-2.19,0.42,20.97,000001,2021-03-17
2021-03-18 00:00:00,20.61,21.04,69161019,21.04,20.31,1483801548.0,0.53,2.58,0.36,20.51,000001,2021-03-18
2021-03-19 00:00:00,20.84,19.78,152562227,20.96,19.68,3159181042.0,-1.26,-5.99,0.79,21.04,000001,2021-03-19
2021-03-22 00:00:00,19.86,20.86,145119008,20.86,19.84,3087549484.0,1.08,5.46,0.75,19.78,000001,2021-03-22
2021-03-23 00:00:00,20.88,20.54,68290338,20.96,20.27,1448043613.0,-0.32,-1.53,0.35,20.86,000001,2021-03-23
2021-03-24 00:00:00,20.52,19.84,85008507,20.59,19.76,1757688572.0,-0.7,-3.41,0.44,20.54,000001,2021-03-24
2021-03-25 00:00:00,19.89,20.06,49266574,20.14,19.71,1017166048.0,0.22,1.11,0.25,19.84,000001,2021-03-25
2021-03-26 00:00:00,20.15,20.45,82210806,20.71,20.07,1733412579.0,0.39,1.94,0.42,20.06,000001,2021-03-26
2021-03-29 00:00:00,20.59,20.80,78566668,20.96,20.51,1684397866.0,0.35,1.71,0.40,20.45,000001,2021-03-29
2021-03-30 00:00:00,20.69,21.24,73865481,21.24,20.52,1601238499.0,0.44,2.12,0.38,20.80,000001,2021-03-30
2021-03-31 00:00:00,21.08,21.32,77702807,21.38,20.91,1699922183.0,0.08,0.38,0.40,21.24,000001,2021-03-31
2021-04-01 00:00:00,21.39,21.09,54444898,21.42,20.81,1183868023.0,-0.23,-1.08,0.28,21.32,000001,2021-04-01
2021-04-02 00:00:00,21.01,20.81,58108352,21.04,20.67,1249405387.0,-0.28,-1.33,0.30,21.09,000001,2021-04-02
2021-04-06 00:00:00,20.86,20.99,40110282,21.40,20.82,873387016.0,0.18,0.86,0.21,20.81,000001,2021-04-06
2021-04-07 00:00:00,21.19,20.95,51760459,21.24,20.62,1116774452.0,-0.04,-0.19,0.27,20.99,000001,2021-04-07
2021-04-08 00:00:00,20.77,20.87,38302950,21.04,20.64,825170840.0,-0.08,-0.38,0.20,20.95,000001,2021-04-08
2021-04-09 00:00:00,21.02,20.61,39896028,21.03,20.39,849870878.0,-0.26,-1.25,0.21,20.87,000001,2021-04-09
2021-04-12 00:00:00,20.82,20.01,59474314,20.82,19.94,1240067319.0,-0.6,-2.91,0.31,20.61,000001,2021-04-12
2021-04-13 00:00:00,20.03,20.09,49990418,20.19,19.90,1036992692.0,0.08,0.4,0.26,20.01,000001,2021-04-13
2021-04-14 00:00:00,20.10,19.98,53743849,20.25,19.73,1113001541.0,-0.11,-0.55,0.28,20.09,000001,2021-04-14
2021-04-15 00:00:00,20.07,19.67,73586505,20.08,19.39,1494016040.0,-0.31,-1.55,0.38,19.98,000001,2021-04-15
2021-04-16 00:00:00,19.67,19.57,72999826,19.74,19.12,1466509057.0,-0.1,-0.51,0.38,19.67,000001,2021-04-16
2021-04-19 00:00:00,19.34,20.46,111228262,20.55,19.22,2304021478.0,0.89,4.55,0.57,19.57,000001,2021-04-19
2021-04-20 00:00:00,20.39,21.00,83477272,21.26,20.23,1798249024.0,0.54,2.64,0.43,20.46,000001,2021-04-20
2021-04-21 00:00:00,21.61,22.32,159709965,22.50,21.60,3644577541.0,1.32,6.29,0.82,21.00,000001,2021-04-21
2021-04-22 00:00:00,22.50,22.29,82969388,22.54,22.09,1905208911.0,-0.03,-0.13,0.43,22.32,000001,2021-04-22
2021-04-23 00:00:00,22.63,22.60,82323015,22.96,22.38,1920413502.0,0.31,1.39,0.42,22.29,000001,2021-04-23
2021-04-26 00:00:00,23.18,22.25,87241767,23.54,22.21,2037109597.0,-0.35,-1.55,0.45,22.60,000001,2021-04-26
2021-04-27 00:00:00,22.26,22.25,47043140,22.50,22.17,1083043579.0,0.0,0.0,0.24,22.25,000001,2021-04-27
2021-04-28 00:00:00,22.60,22.66,59383793,22.76,22.09,1375141409.0,0.41,1.84,0.31,22.25,000001,2021-04-28
2021-04-29 00:00:00,22.65,22.90,61483688,23.02,22.42,1439823965.0,0.24,1.06,0.32,22.66,000001,2021-04-29
2021-04-30 00:00:00,22.66,22.60,56198132,22.80,22.32,1308177202.0,-0.3,-1.31,0.29,22.90,000001,2021-04-30
2021-05-06 00:00:00,22.41,22.81,50029522,23.01,22.41,1174181608.0,0.21,0.93,0.26,22.60,000001,2021-05-06
2021-05-07 00:00:00,22.98,23.36,80221421,23.61,22.70,1929112374.0,0.55,2.41,0.41,22.81,000001,2021-05-07
2021-05-10 00:00:00,23.31,23.17,66143890,23.35,22.33,1566860764.0,-0.19,-0.81,0.34,23.36,000001,2021-05-10
2021-05-11 00:00:00,22.93,22.84,49722345,23.06,22.37,1161846399.0,-0.33,-1.42,0.26,23.17,000001,2021-05-11
2021-05-12 00:00:00,22.60,22.86,53326526,22.95,22.19,1245517717.0,0.02,0.09,0.27,22.84,000001,2021-05-12
2021-05-13 00:00:00,22.83,22.38,54965250,22.90,22.15,1271946299.0,-0.48,-2.1,0.28,22.86,000001,2021-05-13
2021-05-14 00:00:00,22.63,22.81,56378536,22.92,22.09,1300250944.0,0.43,1.92,0.29,22.38,000001,2021-05-14
